id	key	summary_title	note
Deletion	Deletion	缺失	缺失
Deletion1	DeletionSingle	缺1个	缺失1nt
Deletion2	Deletion2	缺2个	缺失2nt
Deletion3	Deletion3	缺3个以上	缺失3nt
DeletionContinuous2	DeletionContinuous2	缺2个（连续）	连续缺失2nt
DeletionContinuous3	DeletionContinuous3	缺3个以上（连续）	连续缺失3nt
DeletionDiscrete2	DeletionDiscrete2	缺2个（不连续）	不连续缺失2nt
DeletionDiscrete3	DeletionDiscrete3	缺3个以上（不连续）	不连续缺失3nt
Insertion	ErrorInsReadsNum	插入	插入
InsertionDeletion	ErrorInsDelReadsNum	插入+缺失	插入+缺失
Mutation	ErrorMutReadsNum	突变	突变
OtherMismatch	ErrorOtherReadsNum	其他错误	其他错误
